time_s,r_0.0_cm,r_0.1_cm,r_0.2_cm,r_0.3_cm,r_0.4_cm,r_0.5_cm,r_0.6_cm,r_0.7_cm,r_0.8_cm,r_0.9_cm,r_1.0_cm,r_1.1_cm,r_1.2_cm,r_1.3_cm,r_1.4_cm,r_1.5_cm,r_1.6_cm,r_1.7_cm,r_1.8_cm,r_1.9_cm,r_2.0_cm
2640,2.54726618,2.54699408,2.54612216,2.54447807,2.54175687,2.53749724,2.53105363,2.52157044,2.50796578,2.48893333,2.46297076,2.42844089,2.38366793,2.32706539,2.25728628,2.17337998,2.07493701,1.96220114,1.83612784,1.69836917,1.55120637
2700,2.54672236,2.54641385,2.54542942,2.54358725,2.54056796,2.53589298,2.52889994,2.51872114,2.50427234,2.48425981,2.45721321,2.42154925,2.37566754,2.31807449,2.24752571,2.16317225,2.06469266,1.95239145,1.82724655,1.69089985,1.54559060
2760,2.54610025,2.54575280,2.54464846,2.54259653,2.53926430,2.53415765,2.52659974,2.51571369,2.50041609,2.47942892,2.45131614,2.41454933,2.36760258,2.30907219,2.23781145,2.15306659,2.05459685,1.94276151,1.81855982,1.68361148,1.54004163
2820,2.54539328,2.54500444,2.54377304,2.54150019,2.53784102,2.53228763,2.52415109,2.51254817,2.49639940,2.47444527,2.44528612,2.40744915,2.35948198,2.30006782,2.22815283,2.14307213,2.04465881,1.93332035,1.81006691,1.67647262,1.53455312
2880,2.54459492,2.54416233,2.54279705,2.54029271,2.53629353,2.53027971,2.52155258,2.50922537,2.49222545,2.46931443,2.43913083,2.40025791,2.35131545,2.29107036,2.21855655,2.13319151,2.03487482,1.92405337,1.80173776,1.66946038,1.52920175
2940,2.54369866,2.54322010,2.54171450,2.53896878,2.53461762,2.52813114,2.51880334,2.50574659,2.48789781,2.46404202,2.43285733,2.39298304,2.34310945,2.28208363,2.20902218,2.12341878,2.02523262,1.91494359,1.79356323,1.66259806,1.52394130
3000,2.54269819,2.54217156,2.54051962,2.53752341,2.53280940,2.52583953,2.51590280,2.50211327,2.48341990,2.45863319,2.42647192,2.38563134,2.33487058,2.27311366,2.19955527,2.11375960,2.01573941,1.90600306,1.78555887,1.65586401,1.51870911
3060,2.54158730,2.54101067,2.53920685,2.53595185,2.53086530,2.52340288,2.51285081,2.49832731,2.47879574,2.45309386,2.41998205,2.37821114,2.32660717,2.26416768,2.19016056,2.10421472,2.00639072,1.89721954,1.77769911,1.64924153,1.51357286
3120,2.54036007,2.53973165,2.53777094,2.53424971,2.52878219,2.52081963,2.50964770,2.49439109,2.47402966,2.44743000,2.41339475,2.37072963,2.31832556,2.25525007,2.18083949,2.09478195,1.99717981,1.88858093,1.76997051,1.64272514,1.50857713
3180,2.53901083,2.53832904,2.53620695,2.53241299,2.52655735,2.51808865,2.50629415,2.49030715,2.46912589,2.44164709,2.40671590,2.36319200,2.31002882,2.24636008,2.17158585,2.08544816,1.98808623,1.88006251,1.76235681,1.63634021,1.50373451
3240,2.53753422,2.53679766,2.53451028,2.53043800,2.52418831,2.51520900,2.50279083,2.48607770,2.46408790,2.43574925,2.39994954,2.35560136,2.30171840,2.23749738,2.16239801,2.07621209,1.97911271,1.87167778,1.75488664,1.63009058,1.49894657
3300,2.53592509,2.53513255,2.53267650,2.52832122,2.52167279,2.51217982,2.49913845,2.48170499,2.45891926,2.42974107,2.39310081,2.34796294,2.29339920,2.22866608,2.15327914,2.06707616,1.97026176,1.86342836,1.74755068,1.62395087,1.49423097
3360,2.53417876,2.53332920,2.53070168,2.52605959,2.51900889,2.50900062,2.49533804,2.47719155,2.45362380,2.42362734,2.38617498,2.34028184,2.28507553,2.21986922,2.14423081,2.05804096,1.96153345,1.85531282,1.74034573,1.61791907,1.48953867
3420,2.53229069,2.53138327,2.52858203,2.52365026,2.51619501,2.50567123,2.49139100,2.47254028,2.44820577,2.41741328,2.37917778,2.33256387,2.27675287,2.21111184,2.13525792,2.04911158,1.95293275,1.84733446,1.73326803,1.61197125,1.48488209
3480,2.53025679,2.52929088,2.52631425,2.52109086,2.51322998,2.50219195,2.48729913,2.46775451,2.44266984,2.41110455,2.37211543,2.32481519,2.26843675,2.20239821,2.12636278,2.04028757,1.94445523,1.83948297,1.72630318,1.60610905,1.48024324
3540,2.52807345,2.52704860,2.52389550,2.51837946,2.51011311,2.49856348,2.48306465,2.46283787,2.43702077,2.40470674,2.36499380,2.31704154,2.26013238,2.19373290,2.11754946,2.03157255,1.93610397,1.83176128,1.71945291,1.60031585,1.47561749
3600,2.52573756,2.52465352,2.52132343,2.51551465,2.50684417,2.49478697,2.47869016,2.45779432,2.43126374,2.39822583,2.35781931,2.30924920,2.25184532,2.18511993,2.10881930,2.02296364,1.92786983,1.82415121,1.71268936,1.59458046,1.47109354
3660,2.52324654,2.52210326,2.51859624,2.51249553,2.50342341,2.49086401,2.47417854,2.45262793,2.42540362,2.39166699,2.35059664,2.30144145,2.24357638,2.17655655,2.10016494,2.01444810,1.91973486,1.81663340,1.70600655,1.58893362,1.46665695
3720,2.52059836,2.51939597,2.51571262,2.50932159,2.49985139,2.48679624,2.46953250,2.44734220,2.41944428,2.38503393,2.34332876,2.29362008,2.23532592,2.16804185,2.09158482,2.00602510,1.91170182,1.80921956,1.69942604,1.58337168,1.46225007
3780,2.51779134,2.51653013,2.51267152,2.50599257,2.49612874,2.48258530,2.46475463,2.44194049,2.41338964,2.37833078,2.33601972,2.28578871,2.22709686,2.15957767,2.08307938,1.99769360,1.90376862,1.80190523,1.69293460,1.57788064,1.45791762
3840,2.51482417,2.51350460,2.50947227,2.50250849,2.49225640,2.47823311,2.45984776,2.43642640,2.40724373,2.37156164,2.32867319,2.27795009,2.21889045,2.15116339,2.07464609,1.98944967,1.89593054,1.79468564,1.68653161,1.57246834,1.45361322
3900,2.51169595,2.51031863,2.50611456,2.49886971,2.48823554,2.47374169,2.45481473,2.43080338,2.40101034,2.36473026,2.32129254,2.27010684,2.21070850,2.14280013,2.06628591,1.98129493,1.88819087,1.78756653,1.68022169,1.56711983,1.44931516
3960,2.50840617,2.50697185,2.50259841,2.49507689,2.48406760,2.46911332,2.44965857,2.42507509,2.39469356,2.35784090,2.31388190,2.26226278,2.20255427,2.13449056,2.05800093,1.97323083,1.88054988,1.78054483,1.67399477,1.56182611,1.44504848
4020,2.50495475,2.50346431,2.49892427,2.49113106,2.47975432,2.46435053,2.44438258,2.41924544,2.38829765,2.35089791,2.30644535,2.25442136,2.19443034,2.12623617,2.04979143,1.96525634,1.87300489,1.77361599,1.66784739,1.55658852,1.44077677
4080,2.50134206,2.49979652,2.49509301,2.48703367,2.47529788,2.45945622,2.43899032,2.41331851,2.38182699,2.34390564,2.29898698,2.24658620,2.18633974,2.11803948,2.04165965,1.95737363,1.86555817,1.76678274,1.66178037,1.55139313,1.43647955
4140,2.49756896,2.49596943,2.49110594,2.48278653,2.47070070,2.45443349,2.43348553,2.40729854,2.37528616,2.33686882,2.29151143,2.23876164,2.17828637,2.10990376,2.03360784,1.94958322,1.85820728,1.76003694,1.65577637,1.54622599,1.43224217
4200,2.49363680,2.49198453,2.48696485,2.47839195,2.46596571,2.44928592,2.42787235,2.40119011,2.36867988,2.32979196,2.28402254,2.23095031,2.17027095,2.10182701,2.02563039,1.94187503,1.85093700,1.75335985,1.64982522,1.54111341,1.42804670
4260,2.48954743,2.48784376,2.48267198,2.47385258,2.46109602,2.44401706,2.42215466,2.39499714,2.36201182,2.32267807,2.27652232,2.22315294,2.16229288,2.09380750,2.01772500,1.93424709,1.84374770,1.74675842,1.64394076,1.53604569,1.42386786
4320,2.48530302,2.48354938,2.47822979,2.46917120,2.45609480,2.43863039,2.41633615,2.38872338,2.35528554,2.31553033,2.26901331,2.21537123,2.15435276,2.08584437,2.00988884,1.92669430,1.83663196,1.74022163,1.63810596,1.53101992,1.41977956
4380,2.48090598,2.47910384,2.47364095,2.46435074,2.45096527,2.43312939,2.41042039,2.38237229,2.34850412,2.30835106,2.26149670,2.20760479,2.14644822,2.07793306,2.00211539,1.91920903,1.82958273,1.73374695,1.63233279,1.52606346,1.41568286
4440,2.47635891,2.47450982,2.46890824,2.45939418,2.44571057,2.42751730,2.40441061,2.37594686,2.34167012,2.30114224,2.25397386,2.19985461,2.13858044,2.07007594,1.99440967,1.91180082,1.82261635,1.72735850,1.62664077,1.52114206,1.41152412
4500,2.47166449,2.46977002,2.46403451,2.45430455,2.44033393,2.42179755,2.39831039,2.36945082,2.33478743,2.29390796,2.24644916,2.19212540,2.13075442,2.06227809,1.98677634,1.90447304,1.81573246,1.72104512,1.62099913,1.51623474,1.40739752
4560,2.46682576,2.46488754,2.45902300,2.44908531,2.43483910,2.41597416,2.39212398,2.36288857,2.32786037,2.28665223,2.23892592,2.18441932,2.12297066,2.05453780,1.97921102,1.89721780,1.80891819,1.71478914,1.61539706,1.51136191,1.40331885
4620,2.46184622,2.45986593,2.45387737,2.44374029,2.42923006,2.41005119,2.38585542,2.35626387,2.32089220,2.27937747,2.23140542,2.17673629,2.11522761,2.04685216,1.97170951,1.89002968,1.80216764,1.70858781,1.60983920,1.50652553,1.39928390
4680,2.45672959,2.45470892,2.44860143,2.43827334,2.42351069,2.40403246,2.37950829,2.34957992,2.31388549,2.27208541,2.22388834,2.16907574,2.10752331,2.03921761,1.96426648,1.88290180,1.79547364,1.70243584,1.60432494,1.50173670,1.39529563
4740,2.45147965,2.44942032,2.44319896,2.43268824,2.41768468,2.39792150,2.37308580,2.34283941,2.30684224,2.26477719,2.21637488,2.16143698,2.09985634,2.03163241,1.95688060,1.87583438,1.78883959,1.69634136,1.59886498,1.49699086,1.39132601
4800,2.44610014,2.44400383,2.43767368,2.42698865,2.41175559,2.39172165,2.36659102,2.33604502,2.29976468,2.25745449,2.20886615,2.15382051,2.09222659,2.02409581,1.94955053,1.86882572,1.78226358,1.69030136,1.59345297,1.49228288,1.38735946
4860,2.44059476,2.43846317,2.43202926,2.42117821,2.40572695,2.38543629,2.36002705,2.32919948,2.29265501,2.25011896,2.20136315,2.14622675,2.08463405,2.01660782,1.94227698,1.86187811,1.77575017,1.68432255,1.58809518,1.48760463,1.38336027
4920,2.43496730,2.43280211,2.42626946,2.41526060,2.39960236,2.37906886,2.35339711,2.32230576,2.28551593,2.24277301,2.19386812,2.13865787,2.07708107,2.00917112,1.93506313,1.85499491,1.76930161,1.67840266,1.58277899,1.48293937,1.37939580
4980,2.42922168,2.42702458,2.42039819,2.40923972,2.39338566,2.37262309,2.34670479,2.31536722,2.27835049,2.23541925,2.18638304,2.13111500,2.06956759,2.00178415,1.92790536,1.84816988,1.76290834,1.67252976,1.57750039,1.47831305,1.37541874
5040,2.42336208,2.42113473,2.41441957,2.40311962,2.38708077,2.36610272,2.33995352,2.30838684,2.27116113,2.22805952,2.17890919,2.12359911,2.06209478,1.99444903,1.92080781,1.84141025,1.75658218,1.66672228,1.57227764,1.47369992,1.37137249
5100,2.41739277,2.41513683,2.40833784,2.39690445,2.38069172,2.35951163,2.33314702,2.30136823,2.26395138,2.22069736,2.17145028,2.11611415,2.05466679,1.98716978,1.91377360,1.83471707,1.75032014,1.66096805,1.56708350,1.46908456,1.36733856
5160,2.41131831,2.40903545,2.40215753,2.39059872,2.37422298,2.35285419,2.32628952,2.29431538,2.25672489,2.21333594,2.16400872,2.10866146,2.04728345,1.97994421,1.90679789,1.82808194,1.74410876,1.65524869,1.56190370,1.46447863,1.36338094
5220,2.40514358,2.40283542,2.39588343,2.38420712,2.36767906,2.34613462,2.31938481,2.28723145,2.24948394,2.20597636,2.15658409,2.10123873,2.03994016,1.97276501,1.89987030,1.82149133,1.73793285,1.64955319,1.55674457,1.45991520,1.35946025
5280,2.39887341,2.39654156,2.38952021,2.37773404,2.36106395,2.33935638,2.31243560,2.28011825,2.24222927,2.19861817,2.14917483,2.09384348,2.03263403,1.96562973,1.89299008,1.81494833,1.73180295,1.64390401,1.55163480,1.45538333,1.35548151
5340,2.39251224,2.39015822,2.38307206,2.37118342,2.35438121,2.33252254,2.30544447,2.27297786,2.23496255,2.19126285,2.14178247,2.08647764,2.02536768,1.95854188,1.88616183,1.80845878,1.72572557,1.63830291,1.54655808,1.45085444,1.35152877
5400,2.38606428,2.38368959,2.37654308,2.36455918,2.34763454,2.32563658,2.29841463,2.26581320,2.22768641,2.18391267,2.13440878,2.07914224,2.01814104,1.95149986,1.87938209,1.80201694,1.71969133,1.63273591,1.54150520,1.44635057,1.34756784
5460,2.37953387,2.37713999,2.36993746,2.35786535,2.34082777,2.31870198,2.29134913,2.25862680,2.22040274,2.17656879,2.12705415,2.07183696,2.01095332,1.94450297,1.87265082,1.79562384,1.71370286,1.62720864,1.53648119,1.44185347,1.34364427
5520,2.37292537,2.37051373,2.36325941,2.35110594,2.33396458,2.31172208,2.28425089,2.25142110,2.21311344,2.16923250,2.11971919,2.06456155,2.00380319,1.93754831,1.86596293,1.78927157,1.70774897,1.62170666,1.53147594,1.43739004,1.33975248
5580,2.36624306,2.36381503,2.35651301,2.34428480,2.32704850,2.30469997,2.27712243,2.24419791,2.20581951,2.16190390,2.11240306,2.05731441,1.99668859,1.93063403,1.85931777,1.78296201,1.70183618,1.61624470,1.52651022,1.43294738,1.33581479
5640,2.35949100,2.35704792,2.34970214,2.33740553,2.32008280,2.29763847,2.26996612,2.23695914,2.19852244,2.15458419,2.10510685,2.05009672,1.98961101,1.92376201,1.85271762,1.77669786,1.69596718,1.61082202,1.52157189,1.42851098,1.33187968
5700,2.35267313,2.35021629,2.34283055,2.33047173,2.31307081,2.29054064,2.26278467,2.22970716,2.19122426,2.14727504,2.09783190,2.04290944,1.98257100,1.91693240,1.84616218,1.77047802,1.69013889,1.60543200,1.51665354,1.42408361,1.32796538
5760,2.34579345,2.34332410,2.33590212,2.32348707,2.30601595,2.28340958,2.25558081,2.22244426,2.18392671,2.13997756,2.09057855,2.03575202,1.97556696,1.91014234,1.83964711,1.76429641,1.68434357,1.60006724,1.51175429,1.41967898,1.32406891
5820,2.33885595,2.33637530,2.32892065,2.31645512,2.29892149,2.27624812,2.24835684,2.21517211,2.17663080,2.13269208,2.08334651,2.02862375,1.96859812,1.90339157,1.83317338,1.75815622,1.67858821,1.59474067,1.50689063,1.41529139,1.32011251
5880,2.33186445,2.32937367,2.32188976,2.30937929,2.29179050,2.26905899,2.24111513,2.20789272,2.16933827,2.12542022,2.07613749,2.02152664,1.96166701,1.89668324,1.82674472,1.75206159,1.67287666,1.58945245,1.50205042,1.41089928,1.31615998
5940,2.32482274,2.32232294,2.31481311,2.30226307,2.28462629,2.26184527,2.23385851,2.20060873,2.16205153,2.11816413,2.06895331,2.01446207,1.95477426,1.89001680,1.82035880,1.74600732,1.66719878,1.58418513,1.49721400,1.40650889,1.31228019
6000,2.31773476,2.31522704,2.30769451,2.29511010,2.27743226,2.25461003,2.22658962,2.19332215,2.15477181,2.11092400,2.06179278,2.00742699,1.94791448,1.88338397,1.81400389,1.73997784,1.66153591,1.57892220,1.49238183,1.40215575,1.30848108
6060,2.31060433,2.30808972,2.30053753,2.28792363,2.27021118,2.24735538,2.21930975,2.18603329,2.14749825,2.10369771,2.05465254,2.00041705,1.94108286,1.87678036,1.80767735,1.73397442,1.65589717,1.57368646,1.48758889,1.39784403,1.30464653
6120,2.30343460,2.30091406,2.29334502,2.28070614,2.26296504,2.24008277,2.21201972,2.17874241,2.14023070,2.09648495,2.04753250,1.99343285,1.93428116,1.87020941,1.80138493,1.72800613,1.65029571,1.56849185,1.48283536,1.39354320,1.30074369
6180,2.29622827,2.29370271,2.28611950,2.27345995,2.25569591,2.23279403,2.20472121,2.17145111,2.13297083,2.08928766,2.04043505,1.98647740,1.92751318,1.86367584,1.79513235,1.72207920,1.64473569,1.56333362,1.47809945,1.38922825,1.29687911
6240,2.28898815,2.28645845,2.27886370,2.26618772,2.24840640,2.22549166,2.19741663,2.16416170,2.12572081,2.08210772,2.03336152,1.97955108,1.92077776,1.85717622,1.78891293,1.71618211,1.63919863,1.55818688,1.47336630,1.38493723,1.29305754
6300,2.28171735,2.27918438,2.27158062,2.25889229,2.24109908,2.21817789,2.19010773,2.15687529,2.11848094,2.07494446,2.02631025,1.97265132,1.91407182,1.85070763,1.78272476,1.71031512,1.63368945,1.55306710,1.46866276,1.38066689,1.28921204
