time_s,r_0.0_cm,r_0.1_cm,r_0.2_cm,r_0.3_cm,r_0.4_cm,r_0.5_cm,r_0.6_cm,r_0.7_cm,r_0.8_cm,r_0.9_cm,r_1.0_cm,r_1.1_cm,r_1.2_cm,r_1.3_cm,r_1.4_cm,r_1.5_cm,r_1.6_cm,r_1.7_cm,r_1.8_cm,r_1.9_cm,surface
1200,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999983,2.54999546,2.54992046,2.54905055,2.54221328,2.50554834,2.37000620,2.01887885,1.36404445,1.23683737
1260,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999999,2.54999959,2.54999096,2.54986341,2.54856846,2.53949208,2.49527672,2.34401597,1.97475568,1.31412688,1.22321607
1320,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999997,2.54999910,2.54998301,2.54977608,2.54791599,2.53617546,2.48379116,2.31685120,1.93086661,1.26597175,1.21052843
1380,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999992,2.54999814,2.54996969,2.54964754,2.54705787,2.53221160,2.47110137,2.28863257,1.88728580,1.21970322,1.19874774
1440,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999999,2.54999982,2.54999639,2.54994836,2.54946466,2.54595709,2.52755474,2.45723289,2.25949626,1.84413813,,1.18755456
1500,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999998,2.54999962,2.54999335,2.54991549,2.54921221,2.54457582,2.52216710,2.44222502,2.22958070,1.80153474,,1.17681635
1560,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999996,2.54999924,2.54998827,2.54986660,2.54887293,2.54287666,2.51602008,2.42612934,2.19902184,1.75953439,,1.16665019
1620,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999992,2.54999855,2.54998012,2.54979611,2.54842778,2.54082311,2.50909082,2.40899535,2.16792150,1.71814550,,1.15700384
1680,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999999,2.54999984,2.54999736,2.54996749,2.54969726,2.54785609,2.53837996,2.50136499,2.39088217,2.13639140,1.67742514,,1.14782432
1740,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999998,2.54999968,2.54999538,2.54994856,2.54956208,2.54713591,2.53551379,2.49283250,2.37184559,2.10450954,1.63735802,,1.13930958
1800,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999997,2.54999941,2.54999220,2.54992094,2.54938136,2.54624410,2.53219292,2.48348833,2.35193552,2.07234120,1.59798218,,1.13134199
1860,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999993,2.54999895,2.54998751,2.54988405,2.54916090,2.54524356,2.52874507,2.47446773,2.33403714,2.04553674,1.56821288,,1.12370053
1920,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999999,2.54999987,2.54999822,2.54998057,2.54983388,2.54888278,2.54406202,2.52489799,2.46486957,2.31570891,2.01888638,1.53925773,,1.11622717
1980,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999999,2.54999977,2.54999706,2.54997055,2.54976698,2.54853739,2.54268302,2.52064188,2.45471699,2.29701319,1.99245508,1.51107691,,1.10894490
2040,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999997,2.54999959,2.54999528,2.54995642,2.54967946,2.54811461,2.54109138,2.51597085,2.44403420,2.27799745,1.96626205,1.48358872,,1.10200634
2100,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999995,2.54999931,2.54999262,2.54993691,2.54956686,2.54760401,2.53927220,2.51088001,2.43284324,2.25870296,1.94032495,1.45678948,,1.09530196
2160,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999999,2.54999991,2.54999886,2.54998874,2.54991049,2.54942425,2.54699475,2.53721209,2.50536685,2.42117050,2.23917734,1.91466989,1.43066146,,1.08881328
2220,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999999,2.54999984,2.54999816,2.54998321,2.54987535,2.54924624,2.54627585,2.53489834,2.49943253,2.40904263,2.21945857,1.88930487,1.40515746,,1.08269070
2280,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999998,2.54999972,2.54999712,2.54997548,2.54982938,2.54902694,2.54543635,2.53231995,2.49307848,2.39648221,2.19957409,1.86422960,1.38029694,,1.07680162
2340,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999996,2.54999954,2.54999558,2.54996486,2.54977016,2.54876007,2.54446514,2.52946607,2.48630837,2.38351584,2.17956081,1.83946200,1.35604816,,1.07115141
2400,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999999,2.54999993,2.54999926,2.54999336,2.54995053,2.54969493,2.54843894,2.54335131,2.52632819,2.47912647,2.37016661,2.15944082,1.81500135,1.33240546,,1.06573878
2460,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999999,2.54999988,2.54999884,2.54999022,2.54993151,2.54960061,2.54805650,2.54208426,2.52289812,2.47154007,2.35646101,2.13924736,1.79086869,1.30934815,,1.06056284
2520,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999998,2.54999981,2.54999821,2.54998586,2.54990664,2.54948378,2.54760545,2.54065349,2.51916960,2.46355723,2.34242218,2.11900115,1.76705782,1.28687691,,1.05559411
2580,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999997,2.54999969,2.54999729,2.54997991,2.54987454,2.54934068,2.54707826,2.53904916,2.51513752,2.45518754,2.32807693,2.09873595,1.74360080,1.26496458,,1.05065539
2640,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999995,2.54999952,2.54999599,2.54997190,2.54983366,2.54916727,2.54646727,2.53726209,2.51079864,2.44644439,2.31345635,2.07848434,1.72050413,1.24352615,,1.04592456
2700,2.55000000,2.55000000,2.55000000,2.55000000,2.54999999,2.54999992,2.54999925,2.54999415,2.54996127,2.54978223,2.54895919,2.54576478,2.53528358,2.50615155,2.43733880,2.29857926,2.05825229,1.69773825,1.22261433,,1.04141417
2760,2.55000000,2.55000000,2.55000000,2.55000000,2.54999999,2.54999987,2.54999886,2.54999162,2.54994738,2.54971824,2.54871183,2.54496300,2.53310569,2.50119397,2.42788247,2.28346850,2.03806428,1.67532731,1.20219649,,1.03692130
2820,2.55000000,2.55000000,2.55000000,2.55000000,2.54999998,2.54999979,2.54999830,2.54998817,2.54992945,2.54963947,2.54842028,2.54405417,2.53072094,2.49592727,2.41809210,2.26815547,2.01795479,1.65328847,1.18218266,,1.03246000
2880,2.55000000,2.55000000,2.55000000,2.55000000,2.54999996,2.54999967,2.54999750,2.54998354,2.54990656,2.54954349,2.54807950,2.54303089,2.52812354,2.49035450,2.40798449,2.25266471,1.99793691,1.63159877,1.16257507,,1.02819714
2940,2.55000000,2.55000000,2.55000000,2.54999999,2.54999994,2.54999950,2.54999639,2.54997742,2.54987769,2.54942763,2.54768425,2.54188590,2.52530794,2.48447739,2.39757236,2.23701164,1.97801475,1.61024129,1.14342319,,1.02402168
3000,2.55000000,2.55000000,2.55000000,2.54999999,2.54999990,2.54999925,2.54999487,2.54996941,2.54984165,2.54928900,2.54722915,2.54061210,2.52226921,2.47830062,2.38687215,2.22122396,1.95821714,1.58924209,1.12459341,,1.01982646
3060,2.55000000,2.55000000,2.55000000,2.54999998,2.54999985,2.54999889,2.54999280,2.54995907,2.54979713,2.54912453,2.54670874,2.53920271,2.51900423,2.47182993,2.37590185,2.20532262,1.93855118,1.56857775,1.10612633,,1.01575990
3120,2.55000000,2.55000000,2.55000000,2.54999997,2.54999977,2.54999839,2.54999004,2.54994586,2.54974264,2.54893098,2.54611754,2.53765157,2.51550980,2.46507100,2.36467702,2.18932470,1.91902190,1.54822508,1.08805758,,1.01191900
3180,2.55000000,2.55000000,2.54999999,2.54999995,2.54999966,2.54999770,2.54998639,2.54992917,2.54967657,2.54870489,2.54545003,2.53595269,2.51178387,2.45802888,2.35320703,2.17323337,1.89961275,1.52815659,1.07049387,,1.00830601
3240,2.55000000,2.55000000,2.54999999,2.54999993,2.54999949,2.54999675,2.54998162,2.54990829,2.54959711,2.54844264,2.54470059,2.53410008,2.50782320,2.45070774,2.34150410,2.15706566,1.88034188,1.50841213,1.05327768,,1.00472470
3300,2.55000000,2.55000000,2.54999998,2.54999989,2.54999925,2.54999546,2.54997546,2.54988243,2.54950232,2.54814045,2.54386365,2.53208813,2.50362723,2.44311475,2.32958434,2.14083973,1.86122084,1.48899112,1.03639703,,1.00122372
3360,2.55000000,2.55000000,2.54999998,2.54999983,2.54999892,2.54999375,2.54996759,2.54985066,2.54939011,2.54779441,2.54293374,2.52991212,2.49919521,2.43525824,2.31746261,2.12457100,1.84226090,1.46989309,1.01976904,,0.99770253
3420,2.55000000,2.54999999,2.54999996,2.54999975,2.54999847,2.54999149,2.54995764,2.54981199,2.54925821,2.54740053,2.54190554,2.52756780,2.49452842,2.42714751,2.30515660,2.10827985,1.82347871,1.45111529,1.00337810,,0.99420799
3480,2.55000000,2.54999999,2.54999994,2.54999963,2.54999785,2.54998855,2.54994516,2.54976528,2.54910423,2.54695475,2.54077397,2.52505156,2.48962834,2.41879195,2.29268146,2.09197978,1.80487674,1.43263626,,,0.99069610
3540,2.54999999,2.54999998,2.54999991,2.54999947,2.54999702,2.54998475,2.54992967,2.54970931,2.54892566,2.54645297,2.53953421,2.52236027,2.48449796,2.41020287,2.28005492,2.07569061,1.78647063,1.41445501,,,0.98717886
3600,2.54999999,2.54999998,2.54999987,2.54999924,2.54999591,2.54997989,2.54991060,2.54964273,2.54871984,2.54589113,2.53818173,2.51949194,2.47914054,2.40139130,2.26729171,2.05942092,1.76824779,1.39652389,,,0.98384019
3660,2.54999998,2.54999996,2.54999980,2.54999892,2.54999444,2.54997370,2.54988710,2.54956319,2.54848079,2.54525466,2.53668279,2.51637164,2.47339954,2.39205270,2.25385669,2.04232191,1.74899486,1.37728977,,,0.98065055
3720,2.54999998,2.54999994,2.54999971,2.54999849,2.54999253,2.54996591,2.54985856,2.54946965,2.54820780,2.54454711,2.53505633,2.51305818,2.46741744,2.38247976,2.24027271,2.02522619,1.72990676,1.35833746,,,0.97749261
3780,2.54999996,2.54999991,2.54999958,2.54999792,2.54999006,2.54995621,2.54982417,2.54936035,2.54789775,2.54376402,2.53329773,2.50954922,2.46119781,2.37268269,2.22655437,2.00814410,1.71098290,1.33964920,,,0.97445824
3840,2.54999994,2.54999987,2.54999941,2.54999715,2.54998690,2.54994423,2.54978302,2.54923341,2.54754741,2.54290099,2.53140283,2.50584362,2.45474423,2.36267021,2.21271065,1.99108199,1.69222473,1.32122985,,,0.97144071
3900,2.54999991,2.54999981,2.54999917,2.54999615,2.54998290,2.54992953,2.54973411,2.54908684,2.54715345,2.54195364,2.52936772,2.50194033,2.44806084,2.35245236,2.19875640,1.97405278,1.67364583,1.30308243,,,0.96840580
3960,2.54999987,2.54999972,2.54999885,2.54999484,2.54997786,2.54991164,2.54967636,2.54891853,2.54671253,2.54091781,2.52718880,2.49783885,2.44115312,2.34204031,2.18470515,1.95706895,1.65525048,1.28518351,,,0.96541298
4020,2.54999981,2.54999960,2.54999842,2.54999316,2.54997158,2.54989003,2.54960859,2.54872629,2.54622124,2.53978947,2.52486321,2.49353981,2.43402692,2.33144467,2.17056909,1.94013933,1.63704008,1.26752751,,,0.96238232
4080,2.54999972,2.54999944,2.54999784,2.54999100,2.54996381,2.54986410,2.54952954,2.54850782,2.54567618,2.53856476,2.52238807,2.48904430,2.42668872,2.32067751,2.15636294,1.92327738,1.61902397,1.25010247,,,0.95928281
4140,2.54999960,2.54999922,2.54999709,2.54998827,2.54995428,2.54983318,2.54943785,2.54826079,2.54507402,2.53724002,2.51976161,2.48435407,2.41914599,2.30975136,2.14209995,1.90649175,1.60119498,1.23286627,,,0.95630500
4200,2.54999944,2.54999892,2.54999612,2.54998484,2.54994265,2.54979657,2.54933210,2.54798278,2.54441141,2.53581187,2.51698182,2.47947095,2.41140501,2.29867419,2.12778463,1.88977599,1.58353096,1.21583394,,,0.95338892
4260,2.54999922,2.54999852,2.54999487,2.54998056,2.54992858,2.54975346,2.54921076,2.54767128,2.54368505,2.53427710,2.51404740,2.47439681,2.40347126,2.28745366,2.11342549,1.87313859,1.56603997,1.19901371,,,0.95049130
4320,2.54999891,2.54999799,2.54999327,2.54997527,2.54991166,2.54970300,2.54907225,2.54732379,2.54289170,2.53263264,2.51095670,2.46913391,2.39535103,2.27609887,2.09902932,1.85657549,1.54870642,1.18238392,,,0.94776568
4380,2.54999851,2.54999730,2.54999124,2.54996876,2.54989145,2.54964428,2.54891489,2.54693774,2.54202812,2.53087547,2.50770894,2.46368397,2.38704887,2.26461483,2.08459730,1.84008488,1.53153151,1.16599531,,,0.94498515
4440,2.54999798,2.54999641,2.54998869,2.54996083,2.54986746,2.54957630,2.54873695,2.54651052,2.54109113,2.52900278,2.50430276,2.45804919,2.37857162,2.25301331,2.07014777,1.82369182,1.51455091,1.14980055,,,0.94206661
4500,2.54999728,2.54999526,2.54998552,2.54995121,2.54983914,2.54949800,2.54853659,2.54603948,2.54007769,2.52701232,2.50073868,2.45223441,2.36992915,2.24130751,2.05569297,1.80740041,1.49774934,1.13374088,,,0.93921875
4560,2.54999637,2.54999380,2.54998159,2.54993963,2.54980590,2.54940826,2.54831200,2.54552203,2.53898497,2.52490217,2.49701700,2.44624379,2.36112850,2.22950472,2.04123410,1.79120252,1.48110310,1.11785128,,,0.93646037
4620,2.54999520,2.54999195,2.54997676,2.54992577,2.54976709,2.54930590,2.54806123,2.54495562,2.53781024,2.52267034,2.49313828,2.44008058,2.35217507,2.21761052,2.02677450,1.77509649,1.46460651,1.10214015,,,0.93377998
4680,2.54999371,2.54998963,2.54997086,2.54990929,2.54972204,2.54918969,2.54778237,2.54433768,2.53655082,2.52031526,2.48910278,2.43374776,2.34307384,2.20562840,2.01231404,1.75907690,1.44825398,1.08663208,,,0.93117749
4740,2.54999183,2.54998674,2.54996371,2.54988979,2.54966999,2.54905831,2.54747340,2.54366563,2.53520412,2.51783528,2.48491089,2.42724820,2.33383012,2.19356565,1.99786046,1.74315095,1.43205852,1.07130939,,,0.92859900
4800,2.54998946,2.54998316,2.54995509,2.54986686,2.54961014,2.54891040,2.54713232,2.54293689,2.53376765,2.51522886,2.48056360,2.42058587,2.32445008,2.18142891,1.98341680,1.72731803,1.41601751,1.05616069,,,0.92600665
4860,2.54998650,2.54997876,2.54994475,2.54984003,2.54954164,2.54874456,2.54675705,2.54214899,2.53223906,2.51249494,2.47606169,2.41376466,2.31494006,2.16922506,1.96899212,1.71158874,1.40014420,1.04114003,,,0.92333563
4920,2.54998284,2.54997338,2.54993243,2.54980878,2.54946358,2.54855932,2.54634552,2.54129948,2.53061623,2.50963284,2.47140735,2.40678969,2.30530836,2.15696513,1.95459593,1.69596869,1.38442839,1.02623120,,,0.92074112
4980,2.54997833,2.54996686,2.54991784,2.54977259,2.54937502,2.54835316,2.54589567,2.54038602,2.52889725,2.50664198,2.46660234,2.39966569,2.29556098,2.14465296,1.94022654,1.68045054,1.36885631,1.01148937,,,0.91810419
5040,2.54997282,2.54995899,2.54990063,2.54973085,2.54927495,2.54812456,2.54540542,2.53940634,2.52708037,2.50352219,2.46164891,2.39239747,2.28570550,2.13229905,1.92590040,1.66505574,1.35345538,0.99677329,,,0.91532695
5100,2.54996614,2.54994956,2.54988045,2.54968293,2.54916231,2.54787193,2.54487276,2.53835831,2.52516413,2.50027392,2.45655046,2.38499185,2.27575188,2.11991461,1.91162385,1.64977967,1.33819377,0.98212935,,,0.91258815
5160,2.54995807,2.54993830,2.54985689,2.54962816,2.54903603,2.54759368,2.54429565,2.53723993,2.52314737,2.49689760,2.45130986,2.37745426,2.26570566,2.10750151,1.89739197,1.63460638,1.32303770,0.96765514,,,0.91001398
5220,2.54994838,2.54992496,2.54982953,2.54956583,2.54889497,2.54728823,2.54367221,2.53604936,2.52102901,2.49339391,2.44592966,2.36978772,2.25556828,2.09505713,1.88319500,1.61951837,1.30798528,0.95338703,,,0.90749798
5280,2.54993683,2.54990920,2.54979789,2.54949517,2.54873797,2.54695395,2.54300043,2.53478472,2.51880784,2.48976282,2.44041119,2.36199491,2.24534351,2.08258654,1.86904286,1.60453392,1.29308154,0.93913801,,,0.90485059
5340,2.54992312,2.54989071,2.54976148,2.54941540,2.54856382,2.54658918,2.54227841,2.53344418,2.51648284,2.48600475,2.43475723,2.35408160,2.23503995,2.07010037,1.85494432,1.58965820,1.27830945,0.92499023,,,0.90226857
5400,2.54990694,2.54986911,2.54971975,2.54932566,2.54837129,2.54619229,2.54150429,2.53202611,2.51405338,2.48212113,2.42897146,2.34605294,2.22466272,2.05760044,1.84089498,1.57488011,1.26364970,0.91092752,,,0.89966032
5460,2.54988794,2.54984402,2.54967227,2.54922563,2.54816077,2.54576614,2.54068726,2.53055397,2.51157066,2.47821197,2.42323253,2.33820375,2.21466307,2.04573435,1.82776897,1.56131410,1.25046032,0.89861577,,,0.89712124
5520,2.54986576,2.54981501,2.54961834,2.54911405,2.54792979,2.54530563,2.53981669,2.52900525,2.50898907,2.47418920,2.41738113,2.33026390,2.20461612,2.03387598,1.81470323,1.54784243,1.23737223,,,,0.89462125
5580,2.54983998,2.54978159,2.54955733,2.54899000,2.54767710,2.54480927,2.53889105,2.52737897,2.50630846,2.47005399,2.41141941,2.32223685,2.19452492,2.02202913,1.80170437,1.53447868,1.22441531,,,,0.89201259
5640,2.54981016,2.54974326,2.54948854,2.54885252,2.54740143,2.54427553,2.53790880,2.52567400,2.50352887,2.46580798,2.40535079,2.31412739,2.18439563,2.01019996,1.78877690,1.52122361,1.21156825,,,,0.88940896
5700,2.54977582,2.54969951,2.54941129,2.54870066,2.54710154,2.54370298,2.53686866,2.52388961,2.50065055,2.46145310,2.39917912,2.30594048,2.17423271,1.99839144,1.77592051,1.50807143,1.19881330,,,,0.88684929
5760,2.54973645,2.54964974,2.54932483,2.54853342,2.54677615,2.54309020,2.53576926,2.52202516,2.49767405,2.45699128,2.39290739,2.29767950,2.16403834,1.98660198,1.76312920,1.49501156,1.18615284,,,,0.88432052
5820,2.54969150,2.54959335,2.54922838,2.54834976,2.54642399,2.54243578,2.53460942,2.52007987,2.49459978,2.45242416,2.38653822,2.28934765,2.15381639,1.97483673,1.75041083,1.48205793,1.17360960,,,,0.88166107
5880,2.54964037,2.54952970,2.54912113,2.54814866,2.54604379,2.54173836,2.53338798,2.51805339,2.49142839,2.44775401,2.38007597,2.28095114,2.14357392,1.96310307,1.73777146,1.46921179,1.16115408,,,,0.87902402
5940,2.54958245,2.54945810,2.54900224,2.54792905,2.54563427,2.54099661,2.53210387,2.51594546,2.48816094,2.44298350,2.37352457,2.27249405,2.13331445,1.95140041,1.72520271,1.45645139,1.14875441,,,,0.87654530
6000,2.54951708,2.54937785,2.54887086,2.54768987,2.54519422,2.54020930,2.53075628,2.51375579,2.48479834,2.43811453,2.36688604,2.26397730,2.12303335,1.93971714,1.71268455,1.44375162,1.13643561,,,,0.87421894
6060,2.54944356,2.54928821,2.54872610,2.54743002,2.54472238,2.53937522,2.52934413,2.51148414,2.48134085,2.43314776,2.36016106,2.25540014,2.11273012,1.92805458,1.70022491,1.43113597,1.12425344,,,,0.87180131
6120,2.54936118,2.54918838,2.54856703,2.54714842,2.54421752,2.53849310,2.52786650,2.50912999,2.47778885,2.42808453,2.35335201,2.24676700,2.10241149,1.91642223,1.68783636,1.41862425,1.11218559,,,,0.86923790
6180,2.54926918,2.54907758,2.54839271,2.54684394,2.54367837,2.53756175,2.52632250,2.50669315,2.47414337,2.42292763,2.34646365,2.23808459,2.09208525,1.90482789,1.67552426,1.40621345,1.10017390,,,,0.86677347
6240,2.54916674,2.54895494,2.54820217,2.54651544,2.54310373,2.53658004,2.52471144,2.50417397,2.47040591,2.41767988,2.33949963,2.22935504,2.08175027,1.89326296,1.66327054,1.39387330,1.08823471,,,,0.86438890
6300,2.54905305,2.54881959,2.54799441,2.54616180,2.54249242,2.53554691,2.52303279,2.50157250,2.46657743,2.41234276,2.33246096,2.22057943,2.07140659,1.88172922,1.65108317,1.38162038,1.07639995,,,,0.86195005
6360,2.54892725,2.54867064,2.54776843,2.54578192,2.54184326,2.53446137,2.52128580,2.49888873,2.46265892,2.40691831,2.32535116,2.21176181,2.06105919,1.87023210,1.63896680,1.36946030,1.06464454,,,,0.85941494
6420,2.54878846,2.54850717,2.54752321,2.54537466,2.54115512,2.53332245,2.51947013,2.49612311,2.45865179,2.40140918,2.31817367,2.20290648,2.05071330,1.85877747,1.62692739,1.35739700,1.05294211,,,,0.85683614
6480,2.54863574,2.54832820,2.54725771,2.54493887,2.54042688,2.53212928,2.51758529,2.49327623,2.45455785,2.39581836,2.31093303,2.19401890,2.04037380,1.84736901,1.61496640,1.34542326,1.04128362,,,,0.85420130
6540,2.54846818,2.54813280,2.54697089,2.54447349,2.53965752,2.53088109,2.51563128,2.49034866,2.45037902,2.39014903,2.30363307,2.18510280,2.03004331,1.83600628,1.60307668,1.33351917,1.02964711,,,,0.85175323
6600,2.54828483,2.54791998,2.54666172,2.54397746,2.53884606,2.52957720,2.51360792,2.48734141,2.44611702,2.38440346,2.29627525,2.17615703,2.01971618,1.82467665,1.59123856,1.32166237,1.01811346,,,,0.84932487
6660,2.54808470,2.54768873,2.54632914,2.54344971,2.53799155,2.52821699,2.51151513,2.48425490,2.44177271,2.37858257,2.28886046,2.16718231,2.00939428,1.81338729,1.57946843,1.30989063,1.00665496,,,,0.84678558
6720,2.54786682,2.54743807,2.54597214,2.54288918,2.53709304,2.52679978,2.50935266,2.48108952,2.43734754,2.37268893,2.28139216,2.15818438,1.99908494,1.80214524,1.56777024,1.29820130,0.99522834,,,,0.84424877
